01015;640;07364008604860;417;93480719;0041;
01015;662;07366208533602;417;93478305;0034;
01015;665;07366508564712;417;93479106;0034;
01015;665;07366508568724;417;93477717;0034;
01015;668;07366806105235;417;00665986;0071;
01015;668;07366806105301;417;00667148;0071;
01015;668;07366806105337;417;00667773;0071;
01015;668;07366806105340;417;00663375;0071;
01015;668;07366806105342;417;00667881;0071;
01015;668;07366806105345;417;00667903;0071;
01015;668;07366806105348;417;00667921;0071;
01015;668;07366806105367;417;00668373;0071;
01015;668;07366806105386;417;00668948;0071;
01015;668;07366806105405;417;00669416;0071;
01015;669;07366900101755;417;93479564;0035;
01015;669;07366900101796;417;93481603;0041;
01015;669;07366900101797;417;93481456;0041;
01015;669;07366900101798;417;93481595;0041;
01015;669;07366900101799;417;93481140;0041;
01015;669;07366906102409;417;00666233;0071;
01015;669;07366906102432;417;00667413;0071;
01015;669;07366906102433;417;00667413;0071;
01015;669;07366906102453;417;00667875;0071;
01015;669;07366906102461;417;00666018;0071;
01015;669;07366906102484;417;00669607;0071;
01015;676;07367600100756;417;93481450;0041;
01015;676;07367600100757;417;93474968;0034;
01015;682;07368208522949;417;93479445;0034;
01015;682;07368208529953;417;93478226;0034;
01015;682;07368208532139;417;93478895;0034;
01015;682;07368208536053;417;93478185;0034;
01015;682;07368208544478;417;93477753;0034;
01015;682;07368208557709;417;93478532;0034;
01015;682;07368208577850;417;93479432;0034;
01015;682;07368208578828;417;93475504;0034;
01015;682;07368208582784;417;93477891;0034;
01015;682;07368208589421;417;93479069;0034;
01015;683;07368308607561;417;00667591;0071;
05387;640;00164008604402;417;05590465;0034;
05387;640;00164008604582;417;05601527;0041;
05387;640;00164008604719;417;05607290;0041;
05387;640;00164008604788;417;05607400;0041;
05387;640;00164008605254;417;05596986;0041;
05387;640;00164008605428;417;05597387;0041;
05387;640;00164008605476;417;05604432;0041;
05387;640;00164008606027;417;05609396;0041;
05387;640;00164008606326;417;05608179;0041;
05387;640;00164008606406;417;05595014;0034;
05387;640;00164008606518;417;05607352;0041;
05387;640;00164008606573;417;05603132;0041;
05387;640;00164008606865;417;05608680;0041;
05387;640;00164008607022;417;05599724;0041;
05387;640;00164008607221;417;05608941;0034;
05387;640;00164008607337;417;05600314;0041;
05387;640;00164008607478;417;05604762;0041;
05387;640;00164008607732;417;05606736;0041;
05387;640;00164008607855;417;05607727;0041;
05387;640;00164008608028;417;05596223;0034;
05387;662;00166208505055;417;05570253;0034;
05387;662;00166208526902;417;05560198;0034;
05387;662;00166208535703;417;05535071;0034;
05387;662;00166208544187;417;05563765;0034;
05387;662;00166208556580;417;05587959;0034;
05387;662;00166208558794;417;05575029;0034;
05387;662;00166208560343;417;05576051;0034;
05387;662;00166208562970;417;05574720;0034;
05387;662;00166208582096;417;05580372;0034;
05387;662;00166208596277;417;05568573;0034;
05387;662;00166208596331;417;05569838;0034;
05387;662;00166208597077;417;05583189;0034;
05387;662;00166208597149;417;05554703;0034;
05387;662;00166208599113;417;05568170;0034;
05387;662;00166208604398;417;05579269;0034;
05387;662;00166208606556;417;05563104;0034;
05387;665;00166508523418;417;05569195;0034;
05387;665;00166508541056;417;05584676;0034;
05387;665;00166508557819;417;05588534;0034;
05387;668;00166806138091;417;00665101;0071;
05387;668;00166806138315;417;00666402;0071;
05387;668;00166806138317;417;00666083;0071;
05387;668;00166806138322;417;00666108;0071;
05387;668;00166806138337;417;00666143;0071;
05387;668;00166806138437;417;00666570;0071;
05387;668;00166806138483;417;00667491;0071;
05387;668;00166806138511;417;00666810;0071;
05387;668;00166806138556;417;00666933;0071;
05387;668;00166806138561;417;00666979;0071;
05387;668;00166806138580;417;00667053;0071;
05387;668;00166806138607;417;00667136;0071;
05387;668;00166806138700;417;00667393;0071;
05387;668;00166806138753;417;00667587;0071;
05387;668;00166806138783;417;00667737;0071;
05387;668;00166806138814;417;00667891;0071;
05387;668;00166806138822;417;00667952;0071;
05387;668;00166806138825;417;00666524;0071;
05387;668;00166806138835;417;00667995;0071;
05387;668;00166806138860;417;00668156;0071;
05387;668;00166806138883;417;00668290;0071;
05387;668;00166806138896;417;00668316;0071;
05387;668;00166806138923;417;00668430;0071;
05387;668;00166806138924;417;00666768;0071;
05387;668;00166806138934;417;00668468;0071;
05387;668;00166806138992;417;00667034;0071;
05387;668;00166806138994;417;00667034;0071;
05387;668;00166806139070;417;00669067;0071;
05387;668;00166806139073;417;00669074;0071;
05387;668;00166806139117;417;00669258;0071;
05387;668;00166806139123;417;00669282;0071;
05387;668;00166806139136;417;00669374;0071;
05387;668;00166806139144;417;00669400;0071;
05387;668;00166806139146;417;00669410;0071;
05387;668;00166806139162;417;00669474;0071;
05387;668;00166806139170;417;00669778;0071;
05387;668;00166806139184;417;00669566;0071;
